problem statement:   Read assignment  1) Read Textbook Chapter 6 : Sun Synchronous [ read for comprehension, but no problem sets assigned on this chapter ]   2) Begin your project!   Read sections 1-3 of CubeSat 101 : Basic Concepts and Processes for first time Cubesat developers.  [ already uploaded to Background module ].   Now, consider a novel space mission [ or an extension of an existing mission ] that sparks your interest: commercial, research/exploratory, defense, etc.  Keep the scope reasonable.   Follow the CubeSat 101 process and create a first draft outline [ sections: Intro, Process, Mission Models] that would serve to describe the Cubesat [ as you'll see - there are many configurations possible] with sufficient detail that might attract funding.      If you have any preliminary ideas, that you'll like show me early on, please do!     ** this project will be worth 200 pts total.  The outline is the first increment, worth 50 pts, to augmented the remainder of the Cubesat 101 sections later.    													
													
Interest	Mission	Domain	Description	Key Innovation	Novelty	Impact	Validation	Domain Align	Funding	Feasibility	CSLI (raw/70)	CSLI (1–5)	Final Score (0–100)
3	RAD-AI	In-Space Computing	Radiation-tolerant edge AI computer performing autonomous vision/control tasks in orbit to validate radiation mitigation and onboard intelligence	Radiation-tolerant RISC-V AI computer running onboard vision/controls with live fault injection	4	5	4	5	5	4	63	5	90
3	MINIFAB	Tech Demo / ISAM	6U CubeSat that 3D prints and tests small truss elements in microgravity to demonstrate in-space additive manufacturing feasibility	Microgravity 3D printing + mechanical testing of structural coupons in 6U CubeSat	4.5	4.5	3.5	5	4	3.5	52.5	4	85
3	MICROSEG	Deployable Optics	CubeSat that deploys and phases segmented mirrors to validate active optics control for future large telescopes	Segmented mirror + MEMS deformable mirror phasing for 30 cm effective aperture	4.5	4.5	3.5	4.5	4	3	51.5	3	81
3	XNAV-Lite	Deep-Space Navigation	X-ray pulsar navigation demonstrator showing autonomous position estimation in space using compact timing detectors	Compact X-ray pulsar navigation pathfinder using silicon detector and onboard timing	4	4.5	3.5	5	3.5	3	52	3	79.5
3	DTN-XL	Networking	Store-and-forward intersatellite networking experiment demonstrating Delay-Tolerant Networking between CubeSats	Delay-Tolerant Networking with inter-sat store-and-forward routing between CubeSats	2.5	3.5	4.5	4	4	4.5	66.5	5	75
2	MARS-RELAY-PATHFINDER	Deep Space Comms	CubeSat demonstrator for Mars-Earth communications using optical inter-satellite links and deep-space transponder emulation in LEO	First CubeSat-scale deep-space optical comms terminal; LEO emulation of Mars-relay links for DSN-like ground integration	4	4.5	3.5	5	3.5	3	48	3	79.5
2	PLASMA-SCOUT	Space Weather & Geospace	Miniaturized Langmuir probe and magnetometer mission to measure ionospheric plasma density and address NOAA’s observation gap	COTS plasma diagnostics (Langmuir + magnetometer) providing low-cost ionospheric density profiles	3	4	5	5	4	4.5	61	5	84.5
2	LITHIUM HUNTER	Planetary Resources (EO analog)	SWIR imaging mission detecting lithium-bearing mineral signatures as an analog for asteroid resource prospecting	SWIR mineral spectral detection tuned to lithium-bearing signatures; asteroid-resource sensor analog over Earth	3	3.5	3	3	2.5	4	50	3	62.5
1	LASER-AO	Optical Comms	LEO-to-ground optical downlink experiment testing adaptive optics receivers and smart communication protocols	Adaptive-optics downlink testbed focusing on AO receiver + protocol design	3	4	4.5	4	4.5	4	63	5	79.5
1	RPO-TARGET	SDA / Autonomy	Rendezvous and proximity-ops demonstrator using angles-only vision-based navigation with a tethered passive target	Angles-only vision-based rendezvous with tethered passive target	4	4	3	4.5	3.5	2.5	45.5	3	73.5
1	QKD-LEO	Quantum Comms	3U CubeSat generating and transmitting entangled photons between space and ground to demonstrate secure quantum key distribution	3U CubeSat generating and transmitting entangled photons to demonstrate secure quantum-resilient communications	4	4	3	4.5	3.5	2.5	44	2	71.5
1	CRYPTO-SAT	Quantum / Security	Quantum random number generator satellite producing verifiable randomness beacons for secure communication research	Quantum Random Number Generator in orbit producing open verifiable randomness beacons	3.5	3	2	4	2.5	3.5	45	2	59.5
